Category: All categories
TOP
Google Search,100
Weather,100
Google,100
Film,74
Definition,70
Facebook,70
YouTube,65
Sales,63
Kobe Bryant,58
Car,55
"Facebook, Inc.",55
Amazon.com,54
.com,53
How-to,52
Texas,50
United States,45
Florida,44
News,44
California,43
Child,42
Lyrics,40
School,40
Restaurant,40
Super Bowl,39
Food,38

RISING
Kobe Bryant,Breakout
Caucus,+2900%
Tax refund,1500%
Coronavirus,+950%
Valentine's Day,+550%
Virus,+300%
Internal Revenue Service,+250%
Super Bowl,+200%
TurboTax,+200%
Iowa,+140%
Bowl game,+110%
New Hampshire,+70%
Tax,+60%
Death,+50%
Google Docs,+40%
China,+40%

